Species,ID,height,diam
angusticeps,A004,210,0.2
angusticeps,A004,198,0.5
angusticeps,A004,169,NA
angusticeps,A004,227,NA
angusticeps,A004,252,NA
angusticeps,A004,264,NA
angusticeps,A005,381,0.2
angusticeps,A005,431,0.4
angusticeps,A005,405,0.5
angusticeps,A005,300,0.7
angusticeps,A005,105,1
angusticeps,A005,135,1.5
angusticeps,A005,205,NA
angusticeps,A005,221,NA
angusticeps,A005,310,NA
angusticeps,A005,350,NA
angusticeps,A005,352,NA
angusticeps,A005,363,NA
angusticeps,A005,380,NA
angusticeps,A005,400,NA
angusticeps,A005,420,NA
angusticeps,A005,365,NA
angusticeps,A012,231,0.75
angusticeps,A013,360,0.8
angusticeps,A013,156,10
angusticeps,A013,331,NA
angusticeps,A014,600,2
angusticeps,A014,286,3.5
angusticeps,A014,434,9.4
angusticeps,A014,256,NA
angusticeps,A014,330,NA
angusticeps,A015,28,0.3
angusticeps,A015,477,0.8
angusticeps,A015,175,10.5
angusticeps,A015,352,NA
angusticeps,A015,422,NA
angusticeps,A016,330,4
angusticeps,A016,441,4
angusticeps,A016,550,NA
angusticeps,A017,550,2
angusticeps,A017,399,4
angusticeps,A017,485,5.5
angusticeps,A017,650,NA
angusticeps,A019,120,0.6
angusticeps,A019,355,0.8
angusticeps,A019,550,1.3
angusticeps,A019,472,NA
angusticeps,A020,315,0.6
angusticeps,A020,240,1
angusticeps,A020,245,NA
angusticeps,A020,303,NA
angusticeps,A101,328,0.2
angusticeps,A101,131,0.3
angusticeps,A101,158,0.6
angusticeps,A101,317,1.2
angusticeps,A101,437,1.5
angusticeps,A101,230,1.6
angusticeps,A101,262,NA
angusticeps,A101,278,NA
angusticeps,A101,294,NA
angusticeps,A102,313,0.6
angusticeps,A102,282,1
angusticeps,A102,303,1
angusticeps,A102,205,1.2
angusticeps,A102,218,2
angusticeps,A102,211,NA
angusticeps,A102,246,NA
angusticeps,A102,262,NA
angusticeps,A103,155,0.4
angusticeps,A103,118,0.8
angusticeps,A104,178,0.5
angusticeps,A104,261,0.5
angusticeps,A104,215,0.6
angusticeps,A104,168,0.8
angusticeps,A104,333,2
angusticeps,A104,162,3.4
angusticeps,A104,225,NA
angusticeps,A104,260,NA
angusticeps,A105,207,0.5
angusticeps,A105,280,0.5
angusticeps,A105,363,0.75
angusticeps,A105,178,1
angusticeps,A105,194,1
angusticeps,A105,193,1.2
angusticeps,A105,264,1.2
angusticeps,A105,318,1.5
angusticeps,A105,271,2.2
angusticeps,A105,292,NA
angusticeps,A105,324,NA
angusticeps,A106,315,0.6
angusticeps,A106,520,1
angusticeps,A106,175,3.4
angusticeps,A106,361,NA
angusticeps,A106,380,NA
angusticeps,A107,320,1
angusticeps,A107,225,2
angusticeps,A107,169,3.2
angusticeps,A107,479,3.5
angusticeps,A107,343,3.6
angusticeps,A107,300,3.8
angusticeps,A107,334,6.6
angusticeps,A107,300,7.5
angusticeps,A107,337,12
angusticeps,A107,183,NA
angusticeps,A107,210,NA
angusticeps,A107,600,NA
angusticeps,A108,157,0.2
angusticeps,A108,259,0.4
angusticeps,A108,226,0.8
angusticeps,A108,227,NA
angusticeps,A108,230,NA
angusticeps,A108,231,NA
angusticeps,A108,215,NA
angusticeps,A109,190,0.3
angusticeps,A109,650,3
angusticeps,A109,294,NA
angusticeps,A109,554,NA
angusticeps,A110,121,NA
angusticeps,A111,196,NA
angusticeps,A111,242,NA
angusticeps,A111,312,NA
angusticeps,A112,187,0.4
angusticeps,A113,301,1.2
angusticeps,A113,692,1.2
angusticeps,A113,295,2
angusticeps,A113,498,4
angusticeps,A113,394,6.8
angusticeps,A113,483,8.7
angusticeps,A113,517,9.5
angusticeps,A113,360,14
angusticeps,A113,287,NA
angusticeps,A113,375,NA
angusticeps,A113,480,NA
angusticeps,A113,550,NA
angusticeps,A113,750,NA
angusticeps,A114,155,NA
angusticeps,A115,177,22
angusticeps,A116,370,0.8
angusticeps,A116,350,1
angusticeps,A116,435,1
angusticeps,A116,625,1.3
angusticeps,A116,387,1.8
angusticeps,A116,367,2.1
angusticeps,A116,600,3
angusticeps,A116,306,3.5
angusticeps,A116,501,3.8
angusticeps,A116,500,4
angusticeps,A116,336,NA
angusticeps,A116,379,NA
angusticeps,A116,396,NA
angusticeps,A116,435,NA
angusticeps,A116,456,NA
angusticeps,A117,241,22
angusticeps,A117,214,NA
angusticeps,A117,320,NA
angusticeps,A118,310,0.6
angusticeps,A118,290,0.8
angusticeps,A118,361,0.8
angusticeps,A118,277,1
angusticeps,A118,348,1.2
angusticeps,A118,285,2
angusticeps,A119,369,2
angusticeps,A119,377,NA
angusticeps,A200,407,4
angusticeps,A201,320,3.5
angusticeps,A201,160,NA
angusticeps,A201,160,NA
angusticeps,A201,174,NA
angusticeps,A202,238,4
angusticeps,A203,146,0.8
angusticeps,A203,279,8.5
angusticeps,A203,297,NA
angusticeps,A203,370,NA
angusticeps,A204,126,0.4
angusticeps,A205,166,1
angusticeps,A205,130,2.5
angusticeps,A205,156,2.5
angusticeps,A205,122,2.8
angusticeps,A205,168,NA
angusticeps,A205,179,NA
angusticeps,A205,197,NA
angusticeps,A205,227,NA
angusticeps,A205,280,NA
angusticeps,A206,245,3
angusticeps,A206,155,NA
angusticeps,A206,229,NA
angusticeps,A207,206,0.6
angusticeps,A207,263,7
angusticeps,A207,148,NA
angusticeps,A207,160,NA
angusticeps,A207,550,NA
angusticeps,A208,167,3
angusticeps,A208,150,NA
angusticeps,A208,204,NA
angusticeps,A209,136,0.6
angusticeps,A210,132,1.5
angusticeps,A210,185,2.5
angusticeps,A210,250,3
angusticeps,A210,285,5
angusticeps,A210,139,NA
angusticeps,A210,168,NA
angusticeps,A211,153,6.5
angusticeps,A211,190,NA
angusticeps,A212,180,3.3
angusticeps,A212,140,NA
angusticeps,A213,116,0.8
angusticeps,A214,274,1.2
angusticeps,A215,68,1.1
angusticeps,A216,155,1.4
angusticeps,A216,60,2
angusticeps,A216,147,2.5
angusticeps,A216,338,2.5
angusticeps,A216,111,NA
angusticeps,A216,155,NA
angusticeps,A217,167,5.8
angusticeps,AI,152,0.5
angusticeps,AI,367,NA
angusticeps,AII,210,0.3
angusticeps,AII,400,NA
angusticeps,AIII,232,0.5
angusticeps,AIII,236,4
angusticeps,AIII,277,NA
angusticeps,AV,181,0.5
bahorucoensis,B100,157,NA
bahorucoensis,B101,94,0.3
bahorucoensis,B101,104,1.5
bahorucoensis,B101,102,4
bahorucoensis,B101,115,5
bahorucoensis,B101,121,NA
bahorucoensis,B102,66,0.8
bahorucoensis,B102,139,NA
bahorucoensis,B103,37,9
bahorucoensis,B103,100,NA
bahorucoensis,B103,101,NA
bahorucoensis,B103,141,NA
bahorucoensis,B104,80,0.5
bahorucoensis,B104,51,0.7
bahorucoensis,B104,28,2
bahorucoensis,B104,113,3
bahorucoensis,B104,54,NA
bahorucoensis,B104,112,NA
bahorucoensis,B104,119,NA
bahorucoensis,B105,103,0.2
bahorucoensis,B105,123,NA
bahorucoensis,B106,158,1
bahorucoensis,B106,23,6
bahorucoensis,B106,85,7
bahorucoensis,B106,106,NA
bahorucoensis,B106,122,NA
bahorucoensis,B107,94,NA
bahorucoensis,B108,93,0.7
bahorucoensis,B108,46,1.2
bahorucoensis,B108,158,NA
bahorucoensis,B109,77,2
bahorucoensis,B109,66,NA
bahorucoensis,B109,70,NA
bahorucoensis,B110,118,0.3
bahorucoensis,B110,146,4
bahorucoensis,B110,149,6
bahorucoensis,B110,139,NA
bahorucoensis,B111,37,0.7
bahorucoensis,B111,155,NA
bahorucoensis,B112,158,NA
bahorucoensis,B113,61,1.5
bahorucoensis,B113,153,NA
bahorucoensis,B113,179,NA
bahorucoensis,B114,154,NA
bahorucoensis,B115,97,0.5
bahorucoensis,B115,153,4
bahorucoensis,B115,79,5.5
bahorucoensis,B115,29,NA
bahorucoensis,B116,54,0.3
bahorucoensis,B116,77,0.8
bahorucoensis,B116,145,0.8
bahorucoensis,B116,119,1.5
bahorucoensis,B116,151,2
bahorucoensis,B116,117,4
bahorucoensis,B116,85,NA
bahorucoensis,B116,97,NA
bahorucoensis,B117,134,0.5
bahorucoensis,B117,154,0.5
bahorucoensis,B117,118,0.8
bahorucoensis,B117,47,2
bahorucoensis,B117,124,4
bahorucoensis,B117,138,5
bahorucoensis,B117,140,10
bahorucoensis,B117,122,NA
bahorucoensis,B118,67,0.4
bahorucoensis,B118,119,0.4
bahorucoensis,B118,47,0.5
bahorucoensis,B118,86,3
bahorucoensis,B118,73,5
bahorucoensis,B118,79,NA
bahorucoensis,B118,181,NA
bahorucoensis,B119,71,4
bahorucoensis,B119,90,4
bahorucoensis,B119,138,12
bahorucoensis,B119,96,NA
bahorucoensis,B120,221,NA
bahorucoensis,B121,74,NA
bahorucoensis,B122,75,0.3
bahorucoensis,B122,17,3
bahorucoensis,B122,40,7
bahorucoensis,B122,66,12
bahorucoensis,B122,83,NA
bahorucoensis,B122,129,NA
bahorucoensis,B122,155,NA
bahorucoensis,B123,229,0.5
bahorucoensis,B123,278,2
bahorucoensis,B123,119,NA
bahorucoensis,B123,245,NA
bahorucoensis,B124,82,NA
bahorucoensis,B125,156,0.3
bahorucoensis,B125,136,NA
bahorucoensis,B125,189,NA
bahorucoensis,B126,122,NA
bahorucoensis,B126,262,NA
bahorucoensis,B127,170,1.7
