Species,ID,Sex,SVL
krugi,K209,F,31
krugi,K124,F,33
bahorucoensis,B114,F,34
krugi,K101,F,34
krugi,K216,F,34
sagrei,S123,F,34
sagrei,S125,F,34
sagrei,S135,F,34
bahorucoensis,B116,F,35
krugi,K225,F,35
sagrei,S118,F,35
bahorucoensis,B118,F,36
bahorucoensis,B119,F,36
krugi,K119,F,36
krugi,K122,F,36
olssoni,o139,F,36
bahorucoensis,B127,F,37
bahorucoensis,B139,F,37
cristatellus,C108,F,37
krugi,K111,F,37
krugi,K200,F,37
krugi,K211,F,37
krugi,K220,F,37
krugi,K228,F,37
sagrei,S115,F,37
sagrei,S126,F,37
sagrei,S129,F,37
bahorucoensis,B108,F,38
bahorucoensis,B109,F,38
bahorucoensis,B126,F,38
bahorucoensis,B128,F,38
bahorucoensis,B129,F,38
bahorucoensis,B141,F,38
bahorucoensis,B147,F,38
krugi,K108,F,38
krugi,K114,F,38
krugi,K127,F,38
krugi,K214,F,38
krugi,K215,F,38
sagrei,S102,F,38
sagrei,S114,F,38
sagrei,S127,F,38
angusticeps,A104,F,39
angusticeps,A204,F,39
bahorucoensis,B100,F,39
bahorucoensis,B101,F,39
bahorucoensis,B115,F,39
bahorucoensis,B120,F,39
bahorucoensis,B121,F,39
bahorucoensis,B130,F,39
bahorucoensis,B137,F,39
bahorucoensis,B142,F,39
bahorucoensis,B148,F,39
krugi,K100,F,39
krugi,K121,F,39
krugi,K204,F,39
krugi,K208,F,39
krugi,K213,F,39
krugi,K219,F,39
krugi,K226,F,39
krugi,K234,F,39
lineatopus,L194,F,39
olssoni,o131,F,39
sagrei,S133,F,39
angusticeps,A119,F,40
angusticeps,A213,F,40
bahorucoensis,B102,F,40
grahami,G134,F,40
grahami,G333,F,40
grahami,G347,F,40
gundlachi,G153,F,40
krugi,K202,F,40
krugi,K205,F,40
krugi,K233,F,40
krugi,K235,F,40
lineatopus,L104,F,40
lineatopus,L110,F,40
lineatopus,L117,F,40
lineatopus,L130,F,40
lineatopus,L133,F,40
olssoni,o101,F,40
sagrei,S103,F,40
sagrei,S112,F,40
sagrei,S122,F,40
angusticeps,A111,F,41
bahorucoensis,B125,F,41
bahorucoensis,B135,F,41
cristatellus,C118,F,41
cristatellus,C140,F,41
cristatellus,C150,F,41
cristatellus,C153,F,41
grahami,G118,F,41
gundlachi,G149,F,41
gundlachi,G182,F,41
krugi,K102,F,41
krugi,K105,F,41
krugi,K212,F,41
krugi,K227,F,41
krugi,K232,F,41
krugi,K238,F,41
lineatopus,L134,F,41
lineatopus,L184,F,41
olssoni,o111,F,41
olssoni,o128,F,41
sagrei,S130,F,41
sagrei,S132,F,41
smaragdinus,C002,F,41
angusticeps,A105,F,42
angusticeps,A108,F,42
angusticeps,A206,F,42
bahorucoensis,B110,F,42
cristatellus,C105,F,42
cristatellus,C119,F,42
cristatellus,C145,F,42
cybotes,Y229,F,42
grahami,G104,F,42
grahami,G124,F,42
grahami,G153,F,42
grahami,G171,F,42
grahami,G306,F,42
gundlachi,G118,F,42
gundlachi,G150,F,42
gundlachi,G152,F,42
gundlachi,G157,F,42
gundlachi,G167,F,42
gundlachi,G177,F,42
krugi,K201,F,42
krugi,K203,F,42
lineatopus,L113,F,42
lineatopus,L154,F,42
lineatopus,L168,F,42
lineatopus,L187,F,42
lineatopus,L300,F,42
lineatopus,L316,F,42
lineatopus,L332,F,42
lineatopus,L342,F,42
lineatopus,L357,F,42
olssoni,o107,F,42
angusticeps,A103,F,43
angusticeps,A106,F,43
cristatellus,C106,F,43
cristatellus,C124,F,43
grahami,G121,F,43
grahami,G139,F,43
grahami,G145,F,43
grahami,G156,F,43
grahami,G163,F,43
grahami,G168,F,43
grahami,G169,F,43
grahami,G177,F,43
grahami,G316,F,43
grahami,G346,F,43
gundlachi,G123,F,43
gundlachi,G136,F,43
gundlachi,G142,F,43
gundlachi,G166,F,43
gundlachi,G169,F,43
krugi,K222,F,43
lineatopus,L111,F,43
lineatopus,L121,F,43
lineatopus,L132,F,43
lineatopus,L155,F,43
lineatopus,L157,F,43
lineatopus,L183,F,43
lineatopus,L186,F,43
lineatopus,L188,F,43
lineatopus,L190,F,43
lineatopus,L191,F,43
lineatopus,L199,F,43
lineatopus,L315,F,43
lineatopus,L319,F,43
lineatopus,L333,F,43
lineatopus,L335,F,43
lineatopus,L339,F,43
lineatopus,L340,F,43
lineatopus,L344,F,43
lineatopus,L349,F,43
lineatopus,L353,F,43
lineatopus,L360,F,43
olssoni,o116,F,43
olssoni,o122,F,43
olssoni,o129,F,43
sagrei,S113,F,43
sagrei,S117,F,43
sheplani,S100,F,43
sheplani,S103,F,43
smaragdinus,C100,F,43
carolinensis,L133,F,44
cristatellus,C107,F,44
cristatellus,C132,F,44
cristatellus,C136,F,44
cristatellus,C149,F,44
grahami,G108,F,44
grahami,G126,F,44
grahami,G135,F,44
grahami,G148,F,44
grahami,G151,F,44
grahami,G165,F,44
grahami,G309,F,44
grahami,G318,F,44
grahami,G321,F,44
grahami,G322,F,44
grahami,G327,F,44
grahami,G328,F,44
grahami,G336,F,44
gundlachi,G106,F,44
gundlachi,G112,F,44
gundlachi,G135,F,44
gundlachi,G151,F,44
gundlachi,G162,F,44
gundlachi,G165,F,44
